Day	Energy
1	2000
2	2100
3	1850
4	1400
5	1450
6	1450
7	1350
8	1400
9	1450
10	1350
11	1700
12	1600
13	1650
14	1650
15	1350
16	1500
17	1550
18	1650
19	1650
20	1550
21	1450
22	1700
23	1650
24	1650
25	1650
26	1500
27	1550
28	1550
