Day	Weight
1	48.1
2	48.0
3	48.0
4	48.1
5	47.9
6	47.7
7	47.7
8	47.6
9	47.5
10	47.5
11	47.6
12	47.5
13	47.4
14	47.4
15	47.2
16	47.1
17	47.2
18	47.0
19	47.0
20	47.1
21	47.0
22	46.9
23	46.8
24	46.8
25	46.7
26	46.7
27	46.5
28	46.4
29	46.4
30	46.2
31	46.3
32	46.1
33	46.1
34	45.9
35	45.9
36	45.8
37	45.8
38	45.8
39	45.7
40	45.7
41	45.5
42	45.6
43	45.6
44	45.7
45	45.5
46	45.3
47	45.2
48	45.2
49	45.0
50	45.1
51	45.1
52	45.0
53	44.9
54	44.8
55	44.8
56	44.9
57	44.7
58	44.6
59	44.5
60	44.5
