Day	Weight
1	66.3
2	66.4
3	66.4
4	66.2
5	66.0
6	66.2
7	66.3
8	66.4
9	66.5
10	66.4
11	66.5
12	66.6
13	66.6
14	66.6
15	66.5
16	66.5
17	66.5
18	66.4
19	66.5
20	66.6
21	66.6
