Day	Energy
1	900
2	1050
3	1000
4	900
5	870
6	900
7	950
8	950
9	970
10	920
11	700
12	750
13	950
14	700
15	800
16	950
17	900
18	870
19	780
20	800
21	850
22	900
23	920
24	970
25	720
26	850
27	950
28	840
29	770
30	840
31	720
32	960
33	970
34	720
35	920
36	930
37	970
38	1050
39	980
40	700
41	970
42	950
43	780
44	900
45	1070
46	1030
47	780
48	840
49	870
50	930
51	970
52	1050
53	1050
54	1070
55	980
56	970
57	1050
58	780
59	840
60	930
